职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息
.NET软件工程师,https://www.lagou.com/jobs/2867331.html,浦东新区,8K-15K,上海文景信息科技有限公司,1-3年,本科,"加薪快,朝阳行业,牛人多",岗位职责：1、根据软件设计文档进行程序编码；2、负责执行软件模块测试及集成测试等；3、配合测试人员对产品进行测试；4、建设内部知识库体系；5、完成上级领导交办的其他工作6、发展方向：高级软件工程师、项目经理、系统架构师。任职要求：1）大学本科及以上学历，计算机或相关专业，有扎实的软件基础知识；2）精通面向对象编程方式；3）熟悉.NET编程技术；4）熟悉C#，Oracle、Asp.Net、MVC、Entityframwork等；4）富有团队精神和良好的沟通能力；5）严谨认真，责任心强，工作积极主动；6）有港口、航运或物流相关行业经验者优先。
Java开发工程师（2020届校招）,https://www.lagou.com/jobs/6448862.html,闵行区,10k-14k,上海阑途信息技术有限公司,不限,本科,五险一金，周末双休，快速晋升,Java开发工程师（2020届校招）   职位描述：   1、参与途虎养车基础架构和业务逻辑模块的日常开发；   2、维护底层架构稳定性；   3、与前端开发人员紧密配合，确认调用接口，保证功能的完整；   4、保证代码质量和执行效率，保持平台的稳定性。 职位要求：  1、计算机、应用数学及相关专业本科学历，对前端开发有一定的了解；  2、逻辑清晰，有条理，细心，善于沟通；  3、熟悉JAVA语言，并有一定的数据结构基础；  4、熟悉至少一门脚本语言者优先；  5、有非课程作业的作品者或使用技术解决过实际问题者优先；  6、有相关实习经历者优先。
Java开发工程师(J10317),https://www.lagou.com/jobs/5931533.html,长宁区,13k-26k,秒针信息技术有限公司,3-5年,本科,福利待遇 发展前景,工作职责:1、计算机或相关专业本科以上学历，具有3年以上JAVA开发经验；2、掌握数据结构、多线程编程，掌握常用的设计模式；3、熟练掌握Java语言，熟悉 Spring、Springboot、SpringMVC、Mybatis等框架；4、掌握数据库设计，熟练使用数据库如MySQL、MongoDB、Redis等；5、熟悉常见的中间件、缓存、连接池等；6、理解JVM，包括内存模型、类加载机制以及常用性能优化等；7、具有一定分析技术问题和解决技术问题的能力；8、有强烈的责任心、良好的沟通表达能力和团队协作能力。任职资格:1、计算机或相关专业本科以上学历，具有3年以上JAVA开发经验；2、掌握数据结构、多线程编程，掌握常用的设计模式；3、熟练掌握Java语言，熟悉 Spring、Springboot、SpringMVC、Mybatis等框架；4、掌握数据库设计，熟练使用数据库如MySQL、MongoDB、Redis等；5、熟悉常见的中间件、缓存、连接池等；6、理解JVM，包括内存模型、类加载机制以及常用性能优化等；7、具有一定分析技术问题和解决技术问题的能力；8、有强烈的责任心、良好的沟通表达能力和团队协作能力。
Java开发工程师,https://www.lagou.com/jobs/6481854.html,闵行区,10k-20k,上海阑途信息技术有限公司,不限,本科,独角兽 大牛云集 扁平化 挑战高 成长快,岗位职责：1、负责C端电商平台的架构设计和项目跟进；2、负责运营等相关管理和配置后台系统研发；3、负责基础服务组件研发；4、对现有系统的不足进行分析，找到目前系统的瓶颈，改进系统算法，提高系统性能。岗位要求：1、本科以上学历，互联网公司背景，1年以上工作经验，有过大型网站设计开发或高访问量业务开发经验；2、具备良好的需求分析能力和设计能力，善于主动推动项目进展并最终落地；3、熟悉面向对象设计，熟悉Java，对多线程、集合、反射、IO/NIO有一定的了解；4、熟悉RPC框架、配置中心、ORM等框架的一种或多种;5、熟悉分布式系统原理和设计，熟悉Redis 、Rabbitmq 、Zookeeper、ES等开源项目，能合理进行技术选型，善于解决问题；6、熟悉数据库SQL优化，索引及分库分表等机制；7、喜欢钻研新技术，热衷于分享。
Java（中级）,https://www.lagou.com/jobs/6494841.html,徐汇区,12k-20k,上海彩亿信息技术有限公司,3-5年,本科,精英团队，优质平台，无限成长！,岗位职责：1、负责公司app 产品后端的开发；2、与产品，开发，测试团队合作完成整个项目和产品开发周期；3、编写及维护软件功能规格说明书，设计及开发过程中产生的系列文档；4、系统核心代码的编写；5、负责bug 修改和日常维护、升级。任职资格：1、计算机及相关专业本科及以上学历；2、精通 Java 语言、熟悉 J2EE 项目开发、精通 Java 设计模式；3、熟练掌握 mysql、oracle、sqlserver 等主流数据库开发，有较强的 sql 编写能力；4、精通 MVC 模式，熟练使用 struts、Springcloud、Springboot、 springmvc 等开源框架；5、熟悉 linux 基本操作，tomcat、apache/nginx 等应用服务器基本操作及部署；6、喜欢新技术的学习、调研和实验，有解决产品技术难题的决心和能力，有创新能力；7、身体健康，具备较强的团队协作精神，工作主动性强，耐心细致，有责任心。
java开发,https://www.lagou.com/jobs/6488567.html,徐汇区,10k-13k,上海沸橙信息科技有限公司,1-3年,大专,五险一金,职位要求：1、3年左右及以上开发经验，学历大专学信网可查；2、熟悉Spring、Spring MVC、Mybits等框架，能熟练应用SSM架构进行软件开发；掌握JSP、Servlet、JavaBean、Ajax等开发技术；3、熟练掌握SQL语法，熟悉Oracle、Mysql等大型数据库；4、有较好的逻辑分析能力和代码阅读能力；5、责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力，能够承担重任，能承受较强的工作压力6、有微服务项目经验优先。
java开发工程师（日语方向）,https://www.lagou.com/jobs/6492890.html,黄浦区,15k-22k,恒拓开源信息科技股份有限公司广州分公司,5-10年,本科,交通方便 配套完善 年轻氛围,"1 大学本科以上学历，计算机相关专业；2 5年以上Java开发经验，熟悉Spring 框架以及mybatis/ Hibernate 框架；3熟悉面向对象设计和业务建模，有良好的编码习惯和对代码质量有严格要求；4 熟悉主流的J2EE开发框架以及应用服务器，比如Webspere，JBoss；5 熟悉主流数据库技术，比如Orcale, MS SQL Server, Sybase or MySQL；6 对Linux/Unix操作有一定了解，会编写脚本；7良好的沟通和创新能力；8 有日企工作经验优先；9 日语达到JLPT N2 以及以上日语能力，能够日语对话。"
Java开发工程师（金融方向）,https://www.lagou.com/jobs/6492974.html,浦东新区,12k-17k,恒拓开源信息科技股份有限公司广州分公司,3-5年,本科,交通方便 配套完善 年轻氛围,1. 全日制本科以上学历，3年（含）以上基于JEE开发经验，精通JAVA语言，熟练使用至少一种中间件（weblogic、JBOSS、Tomcat），熟练使用DB2（或mysql）数据库及AIX、Linux系统； 2. 具备JAVA系统设计能力；3. 熟练使用JSF、EJB、Struts2、Ajax、WebService、XML、Hibernate、Ibatis、Spring、JMS、RMI、JQuery、JS及.net等相关JAVA技术，且对于其中1-2项达到精通水平；4. 熟悉http、socket协议；熟练编写SQL语句；5. 具备良好的沟通、协调能力，有过带领3—5人团队的经验优先；6. 熟悉openstack、open vswitch、MapReduce等技术；7. 熟悉python、ruby等编程语言；有金融行业及支付类项目经验。
JAVA开发工程师,https://www.lagou.com/jobs/6492448.html,浦东新区,15k-25k,北京石头世纪科技股份有限公司,3-5年,本科,公司发展前景好，个人成长机会,职位描述：1、参与后端系统的基础架构和业务逻辑的设计、开发、单元测试和文档；2、后台管理WEB的设计、开发和维护；3、负责系统的日常运行维护、数据监控及预警处理。 任职要求：1、计算机软件相关专业，本科及以上学历，1至5年的Java开发经验，有相关项目经验者优先；2、熟练掌握数据结构及算法，Java相关技术及原理，熟悉各种设计模式；3、对各种常用的开源框架如SpringBoot、MyBatis等有深入的了解；4、熟悉分布式系统架构，深入了解缓存技术、消息队列；5、熟练应用MySQL、Postgres数据库，有一定的数据库建模经验和SQL性能调优经验，对NoSql技术有一定了解；6、熟悉docker容器技术，熟悉或参与过DevOps者优先考虑；7、有丰富Unit Test经验者优先考虑；8、github有开源库，技术博客者优先。
java开发工程师,https://www.lagou.com/jobs/6493036.html,黄浦区,16k-19k,上海兆殷特科技有限公司,5-10年,大专,五险一金，加班补贴，打车报销,岗位职责：1、企业内部WEB系统及后端服务的开发；2、根据系统的功能需求和技术规格进行编码实现，并进行单元测试和联调测试；3、开发交付内容符合项目进度、质量要求，符合公司规定的技术规范和代码规范；职位要求:1、精通Web编程，5年以上使用Java语言进行web开发的经验，熟练掌握SpringMVC+Spring+Mybatis框架或SSH框架，熟悉html/html5，javascript等；2、精通servlet，java bean，JMS， memcached，bdb，ajax，jvm等，熟悉J2EE规范，熟悉各种常用设计模式；3、熟悉至少一种较为常见的主流数据库及SQL语言、Linux操作系统、常用版本管理软件操作（如SVN、Git等）；4、有集群环境和数据库读写分离相关的开发经验；5、有良好的软件工程知识和质量意识；6、对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力；7、有ORACLE 存储过程开发经验者优先；
