职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息
python开发,https://www.lagou.com/jobs/6492797.html,青浦区,12k-16k,上海兆殷特科技有限公司,3-5年,大专,五险一金，加班补贴，打车报销,1. 熟练掌握python基础语法2. 熟练使用django restframework框架3. 熟练使用pythton redis mysql操作4. 熟练使用celery异步框架5. 熟练使用linux操作系统6. 熟练使用js css html7. 熟练使用vue框架8. 至少有一个完整的项目经验
Python开发工程师,https://www.lagou.com/jobs/6492663.html,浦东新区,18k-20k,苏州旺满信息科技有限公司,3-5年,本科,双休，五险一金，一年两次调薪，过节费,岗位职责：1. 熟悉Python语言的基本使用以及各种高级特性。2. 熟悉常见算法的python实现。3. 熟悉各种常见网络协议。4. 具有清晰的逻辑思维能力，较好的沟通表达能力，能够将问题深入浅出地讲解出来。任职要求：1.三年及以上Python一线软件开发工作经验，计算机及软件相关专业本科或以上毕业2.编程基础扎实， 熟练使用Python语言，精通Python全栈开发3.熟悉Python Linux运维开发4.有Python网络爬虫相关开发经验优先5.有Python数据分析、机器学习，Spark ML、TensorFlow相关经验的优先6.熟悉Tableau、Power BI、Qlikview等工具优先7.能独立解决问题，承受较强的工作压力，本岗位需要常驻上海地区。
python开发工程师,https://www.lagou.com/jobs/6133743.html,长宁区,15k-25k,秒针信息技术有限公司,3-5年,本科,福利待遇 发展前景,工作内容：1.负责基础数据及通用数据资产建设，通过数据+算法+工程化能力，处理、萃取和自动化加工数据，服务AI和BI场景。2.参与大数据基础架构和技术体系的规划建设，包括统一采集、数据资产建设与管理和数据质量及稳定性保障体系等。任职要求：1.精通数据仓库建模、ETL设计开发，有数据质量与数据治理相关经验。2.有从事分布式数据存储与计算平台应用开发经验，站在全局基础数据和通用数据建设角度，耐得住短期无业务结果的寂寞。3.具备实际的大数据业务开发经验，熟悉Hadoop/Spark/Flink等流批数据处理的开发经验。3.具备实时流计算数据开发经验，尝试过流批数据处理与融合，及全栈开发经验优先。4.具备一定的Python语言的开发能力，具备机器学习算法能力尤佳。5.良好的思维逻辑性和语言表达能力，以及良好的项目沟通和协调能力。
高级python开发,https://www.lagou.com/jobs/6487703.html,浦东新区,20k-40k,互道信息技术（上海）有限公司,3-5年,大专,"技术前沿,大数据平台",岗位职责：1.负责零售行业人、货、场的企业数据应用系统的中后台设计和开发；2.负责制定产品研发计划，跟踪并保障产品研发进度，按计划完成产品迭代； 3.配合项目需求进行项目的分析、设计和开发工作，确保项目按时、按质推进;4.积极了解业界相关新技术及发展趋势，有选择的引进合适的技术来加强、完善平台架构与功能；5.负责定期带领团队进行技术分析，制订相关的技术解决方案； 任职要求：1.计算机相关专业本科以上学历；三年以上相关工作经验;2.精通Python开发，3年以上Python开发经验，熟悉基于Python代码的性能分析和优化；3.熟悉Redis，MongoDB，RabbitMQ等，并具备实际的业务落地经验；4.精通面向对象分析和设计技术，熟悉设计模式、UML建模等；5.具备优秀的编程习惯，具备较强的研发与设计能力；有代码洁癖者优先；6.具备缜密的逻辑思维，具备优秀的分析、解决问题的能力；有大型项目技术管理经验者优先；7.熟悉数据库事务和锁机制，有基于关系型数据库开发大型应用的经验；有基于PostgreSQL开发经验者优先；8.具备良好的服务意识、责任心、较强的学习能力、优秀的团队沟通与协作能力、能承受一定的工作压力；9.具备高并发、高负载、高可用性的产品或项目开发设计经验者优先；10.有良好的文档组织及编写能力，具备产品各阶段相关文档（技术可行性分析，技术设计方案、接口文档等）的编写经验者优先；
python,https://www.lagou.com/jobs/6495837.html,浦东新区,1k-2k,上海卿钊互联网科技有限公司,3-5年,不限,找技术合伙人：时间自由 有项目开发,技术合伙人懂vue和python优先，不限学历，不限背景，有本地生活服务.电商.收银系统供应链管理系统开发经验优先，我们有主要工作利用周末或则节假日开发，无薪资、无报酬我们没钱、没房、没存款有实力愿意加入可以签股权协议（这是一张饼）欢迎进一步沟通
python,https://www.lagou.com/jobs/6089793.html,青浦区,15k-25k,圆通速递有限公司,3-5年,本科,上市公司，前景好，晋升空间广阔，待遇好,岗位职责：1.参与自动化运维平台开发和建设2.参与自动化发布平台CI\CD开发和建设3.参与统一监控平台开发和建设4.参与运维工具开发和建设5.参与cmdb开发和建设任职要求：1.精通Flask/Django或者其他Python Web开发框架，熟悉常用设计模式2.熟练使用mysql，熟悉mysql的各种存储引擎，熟悉索引工作原理3.精通 celery 等队列工具的开发使用4.熟悉多种开源组件有的kafka、redis 、RabbitMq 使用5.熟悉开源监控软件Nagios/Zabbix/Cacti/Prometheus一种或以上的部署和应用经验优先6.熟悉Linux系统，具备编写shell脚本能力7.熟悉网络基础、TCP/IP、HTTP等协议，熟悉操作系统原理
Python开发（自动化运维方向）,https://www.lagou.com/jobs/6347974.html,浦东新区,15k-25k,上海亦存网络科技有限公司,1-3年,本科,前沿技术驱动；年终奖丰厚；技术大牛,"工作内容：该岗位主要负责坚果云企业版与其他已有产品的维护工作，主要包括自动化技术的研究， 服务的部署与维护，运维工具的开发，为技术服务同事提供支持。 岗位要求:1. 掌握至少一种编程语言, Python, Shell 等;2. 熟悉 Linux 操作系统, 了解进程/线程, Cgroup, namespace 等;3. 熟悉网络知识, 熟悉 HTTP, TCP/IP 协议;4. 熟悉至少一种集群自动化管理工具, Puppet, Ansible, Fabric 等; 5. 快速定位问题的能力, 能独立分析解决技术问题, 乐于学习新技术;6. 良好的沟通能力和合作精神。 加分技能:1. 熟悉虚拟化技术, LXC, Docker, Vbox/Vagrant 等;2. 有个人技术博客, 或者 StackOverflow 较高积分。"
Python开发工程师,https://www.lagou.com/jobs/3990588.html,徐汇区,15k-25k,上海斯干网络科技有限公司,3-5年,本科,"上升空间,技术大牛,漫展免费进,福利多多",岗位职责：1、参与后台接口的设计和开发。2、设计数据接入的处理流程，以便从不同的数据源获取数据，并开发相关程序及服务。3、根据需求，完成数据可视化。岗位要求:1、有2年以上后台开发经验，本科及以上学历，211，985学校毕业优先。2、熟练使用Unix/Linux操作系统，熟悉常用的shell/python，必须不局限于某一项特定的开发技术，需要能够根据环境快速适应新技术。3、熟悉数据库技术，如MSSQL、Mysql，熟悉SQL查询的优化。4、有强烈的责任心，和良好的团队协作能力。
Python工程师,https://www.lagou.com/jobs/4123246.html,浦东新区,13k-20k,互道信息技术（上海）有限公司,3-5年,本科,"技术前沿,大数据平台",岗位职责：1.负责SaaS系统后台设计和开发;2.积极了解业界相关新技术及发展趋势，有选择的引进来加强完善平台架构与功能;3.配合前端开发人员进行应用及系统整合； 任职要求：1.计算机相关专业本科以上学历；2.精通Python，3年以上开发经验、2年以上专职Python开发经验，熟悉基于Python代码的性能分析和优化；3.具备优秀的编程习惯，具备较强的研发与设计能力，有代码洁癖者优先；4.具备缜密的逻辑思维，具备优秀的分析、解决问题的能力；有技术管理经验者优先；5.熟悉数据库事务和锁机制，有基于关系型数据库开发大型应用的经验；有基于PostgreSQL开发经验者优先；6.具备良好的服务意识、责任心、较强的学习能力、优秀的团队沟通与协作能力、能承受一定的工作压力；
python开发工程师,https://www.lagou.com/jobs/6369035.html,徐汇区,15k-25k,魔珐（上海）信息科技有限公司,3-5年,本科,"明星团队,顶级科学家,顶级风投,期权丰厚",岗位职责：1，与相关人员沟通产品与项目需求2，完成具体项目中前后端开发工作任职要求：1，熟悉Python，至少熟悉一种Python的后台开发工具，例如Django、Flask等2，熟悉js，至少熟悉一种常见的前端开发框架，例如Vue、React等3，至少熟悉一种常见的数据库，例如MySQL、PG等4，3年以上工作经验，本科以上学历，沟通能力优秀加分项：1，了解一种异步任务处理框架，例如Celery等2，了解一种分布式存储系统，例如HDFS、Ceph等3，了解一种分布式计算系统，例如MapReduce、Spark等4，了解一种配置管理系统，例如saltstack、puppey、ansible等
